area,section,question_type,question_id,question_subject,question_original,question_lite,a0,a1,a2,a3,a4,a5,more_info_link
Organisational Infrastructure,Mission and Scope,RA,1.1.1.1,Approved Mission,"The organisation has received approval for its mission statement (e.g. mandated by funders, statement signed off by governing board, etc.).",to do,The organisation has not received any approval.,"Some informal support from external stakeholders, no formal mandate, approval or contractual obligations exist.","There are some evidence to support the notion that the organisation and its activities receives approval from stakeholders; the organisation is on an ad hoc basis â€œencouragedâ€ to continue its activities, but no formal mandate or formalised approval exist.",The organisation has a received formal approval through clearly defined mandate.,The organisation monitors changes in its organisational environment which may require re-approval.,There are regular reviews of the organisational environment and if changes are made to the mission statement then an assessment is made of the need for re-approval and if required this is sought.,
Organisational Infrastructure,Mission and Scope,RA,1.1.1.2,Mission Statement,"There are explicit written statements on the role, mandate, purpose and mission of the organisation; the statements are available for anyone to readÂ",to do,A mission statement does not exist.,"There is some evidence that the organisation has recognised its mission (implicitly) but there are no formal, written documents to substantiate it.","There are some relevant outputs to support and substantiate the mission of the organisation, but they are only partially complete and/or inconsistent.","The organisation provides a written, formal and complete mission statement that is available for all relevant users.","The mission statement is aligned with policies, processes and procedure documents.",There are regular reviews and updates of mission statement based on formalised communication with relevant stakeholders.,
Organisational Infrastructure,Mission and Scope,RA,1.1.1.3,Define scope of the collection,"As part of the mission statement, the organisation has defined an explicit scope for the repository and their collection, which guides the selection and appraisal of data.",to do,No defined scope.,"Awareness of the need to define scope of the repository; there are some ideas of scope, but nothing is formalised or explicitly communicated.","Scope of collection is implicitly defined by selection/appraisal actions and routines; some types of data are repeatedly appraised, but no formal or explicit scope in place.","Scope of collection / repository explicitly defined and promulgated, e.g. by a collection policy or in an official mission statement. Statements on scope are either integrated into, or connected to, policies; policies are connected to specific processes and procedures.","The definition of scope is monitored for compliance with policies, processes and procedures; actions are taken where processes appear not to be aligned to scope, policy or mission statement; regular reviews of scope and mission of repository.","Regular reviews and updates of scope based on monitoring of, and communication with, Designated Community and other relevant stakeholders; delimitation of scope based on benefit-cost analyses and measurements of repository performance.",
Organisational Infrastructure,Mission and Scope,RA,1.1.1.4,Continuity of Access,The organisation has medium-term (3 to 5 year) and long-term (>5 years) plans in place to ensure the continued availability and accessibility of data in case the organisation ceases to operate (e.g. due to funding issues or other â€œcrisisâ€).Â,to do,"There is no evidence of a continuity of access, or is not applicable.",No contingency plans or only informal intent/agreements.,"A partial plans in place, but limited in detail and scope.","Formal, written succession/contingency plans; formal written agreements with external organisational frameworks.",The organisation monitors its organisational environment to determine when to execute plans.,There are regular reviews and updates to the plans and agreements to reflect changes in the organisationâ€™s environment.,
Organisational Infrastructure,Mission and Scope,RA,1.1.1.5,Guaranteed Period of Responsibility,The organisation has defined a guaranteed period of responsibility for data deposited with it (preservation period).Â,to do,"There is no evidence of a guaranteed period of responsibility, or is not applicable.","No guarantees, only informal intent of long-term preservation.",Guarantees are given on a case by case basis.,"Formal, written guarantees.",The length of time datasets has been held is measured. Designated community and funder requirements are assessed.,There is a regular review of the guaranteed period.,
Organisational Infrastructure,Mission and Scope,RA,1.1.2.1,Identify and prioritise the content types,"The organisation has defined and established the types of materials that are to be preserved by the repository (e.g. by listing materials in order of priority, define a set of preservation categories or collection levels, etc.) and clearly communicates this.",to do,No definition; lack of awareness.,"There is some awareness of the necessity of prioritisation of different materials; no formalised, written or published list.",Some materials are positively prioritised; partial definitions or list of materials that are to be prioritised and preserved; no definition or categorisation of material of lower or none prioritisation.,"A written, formal definition and categorisation of materials to be preserved is available (in a policy or other documentation); materials not to be preserved or of lower priority are also explicitly defined; lists are promulgated and communicated to all relevant stakeholders.","Prioritisation and categorisations of content are regularly reviewed and updated, and are monitored for compliance with policies, processes and procedures; actions are taken where processes appear not to be aligned to prioritisation, policies or mission statement.","At regular intervals a review of the selection criteria is conducted. The scope and criteria are updated based on monitoring of, and communication with, Designated Community and other relevant stakeholders; prioritisation of content based on benefit-cost analyses and measurements of repository performance.",
Organisational Infrastructure,Mission and Scope,RA,1.1.2.2,Define preferred formats,The repository defines and publishes a list of preferred formats.Â,to do,No awareness; not defined.,Some preferred formats are defined internally and are communicated ad hoc/in a case-by-case manner; low awareness of format preferences of Designated Community.,Awareness of preferences of Designated Community is growing due to repeated contact and inquiries from users; lacks formalisation and explicit documentation.,"A formalised and defined list of preferred formats that are appropriate for the Designated Community are made publicly available (on website, in a data policy, etc.).",Preferred formats are integrated into a defined data policy which is maintained and updated regularly; data policy and format preferences are communicated to all stakeholders.,"Regular reviews of data format policy; updates based on technology watch, monitoring of, and communication with Designated Community and other relevant stakeholders; reviews and assessments of data format preferences based on benefit-cost analyses and measurements of repository performance.",
Organisational Infrastructure,Mission and Scope,RA,1.1.3.1,Define Designated Community,The organisation has an explicit definition of a Designated Community.Â,to do,There is no evidence that a Designated Community (or communities) has been defined.,There is some awareness of the need to define a Designated Community. There is evidence of informal recognition that some communities are more relevant for the organisationâ€™s activities than others. There is no formalised or written definition in place.,"Regular interaction with (and outreach towards) selected communities; some communities are positively prioritised and there may be some partial or informal definitions of user communities in place. No formal, written statement is evident.",Designated Community is formally defined; definition is promulgated and communicated to all relevant stakeholders.,"Procedures in place for regular reviews and updates of the definition of Designated Community (e.g. whether to expand, reduce or redefine).",Definition of Designated Community is continuously reviewed and assessed based on benefit-cost analyses and measurements of repository performance.,
Organisational Infrastructure,Mission and Scope,RA,1.1.3.2,Monitoring of the specific requirements of the Designated Community,"The organisation has mechanisms in place for monitoring the specific requirements of the designated community or communities which influence the services to be provided to the community or communities. The requirements â€œâ€¦might include data formats, media choices, preferences for software packages, new computing platforms, and mechanisms for communicating with the archiveâ€ [OAIS].",to do,There is no evidence of communication with the Designated Community or knowledge of the needs of these communities.,"Some exchange of knowledge on and ad hoc basis, but no mechanisms for knowledge exchange exists.","There is regular knowledge exchange between the organisation and the Designated Community but tends to be informal, unstructured and not systematically recorded.","Formalised mechanisms for advice, feedback and knowledge exchange exists (e.g. external advisory committees, feedback mechanisms for designated communities, etc.); knowledge of requirements of the Designated Community is strong and is systematically recorded.",Mechanisms for knowledge exchange and the systematic recording are monitored and measured. Significant changes in requirements are communicated.,At regular intervals the organisation reviews changes in the needs of the designated community or communities and adapts to the changes required. Mechanisms for feedback and knowledge exchange are adjusted and managed accordingly in accordance with the communication plan.,
Organisational Infrastructure,"Contracts, Licenses and Liabilities",GRA,1.2.1.1,Knowledge of legislation,The organisation has sufficient knowledge and documentation on how (relevant aspects of) the (national or international) legislation applies to and affects the holdings and procedures of the organisation.Â,to do,There is no evidence of knowledge or documentation about national legislation and how it applies to the organisation or infrastructure.,No or limited knowledge; no or limited documentation.,"There is partial knowledge on relevant legislation, or knowledge is not wide-spread. There is some formalised documentation, but it maybe insufficient documentation.",Sufficient and documented knowledge on all relevant legislative aspects is available to all staff.,"There are regular analysis of the national legislation, application and effects. non-observance in the application of the legislation are documented.",Procedures and mechanisms are in place to update this knowledge and are used.,
Organisational Infrastructure,"Contracts, Licenses and Liabilities",GRA,1.2.1.2,Communication of service licenses and agreements.,The organisation openly declares its conditions and/or limitations of use and any costs (if applicable) which may arise from any service it provides.Â,to do,No conditions of service use are listed or communicated.,Some awareness of the need to place conditions on some types of service; issues are solved on an ad hoc/case-by-case basis; no formalised service access licenses or agreements are in place.,The application of licenses and conditions of service use occur on a regular basis; formulations of conditions are not formalised; no procedures for implementation.,Licenses and conditions of service use are formalised (in written statements and/or agreements) and are listed/communicated to all relevant stakeholders; the repository may distinguish between different types or categories of service access.,Service licenses and access categories are regularly reviewed and updated.,Service access licenses and the service access conditions framework is regularly reviewed and updated based on regular and formalised communication with relevant stakeholders.,
Organisational Infrastructure,"Contracts, Licenses and Liabilities",GRA,1.2.1.3,Non-compliance measures,The organisation has documentation on measures in the case of non-compliance with contractual conditions.Â,to do,There is no evidence of documentation available internally or externally.,No formalised documentation available. Individuals have different interpretations on what measures may apply to non-compliance to conditions access and use.,"Documentation on measures in the case of non-compliance with conditions of access and use are available, but not actively communicated with the users.",Documentation on measures in the case of non-compliance with conditions of access and are part of the conditions of use and are communicated with the users.,The application of measures for non-compliance are monitored.,There are regular intervals reviews of the documentation are conducted and where necessary changes are made. Changes are communicated internally and externally in accordance with the communication plan.,
Organisational Infrastructure,"Contracts, Licenses and Liabilities",GRA,1.2.1.4,Legal / contractual regulation,"Service access procedures are based on legal or contractual regulations that are settled in agreements between the service users and the repository; and the contractual and legal regulations, ensures that the parties do not infringe any intellectual property rights (IPR) of any other person(s) or institution(s).Â",to do,"No contracts, regulations or agreements in place.",Legal and contractual issues are solved on an ad hoc basis; case-by-case.,Contracts and agreements are set up on a regular basis; contracts are not formalised or standardised; no procedures for implementation.,Contracts and agreements are standardised and implemented according to written procedures; contracts and regulations are made publicly available.,Legal and contractual framework is regularly reviewed and updated; all legal and contractual regulations are aligned to higher level policies; roles and responsibilities are identified and maintained.,The usage and success of access licenses and the access conditions framework are continuously assessed; monitoring of wider legal framework (e.g. national and EU regulations); regular and formalised contact with relevant stakeholders.,
Organisational Infrastructure,"Contracts, Licenses and Liabilities",GEA,1.2.1.5,Provision of Services under a Service Level Agreement,"The organisation formally defines all appropriate aspects of a service it provides (e.g. scope, quality, responsibilities, availability, performance) in written form as service level agreements (SLA) with relevant service users (Designated Community or other key stakeholders).",to do,There is no evidence of written agreements.,No formalised documentation available. Individuals have different interpretations of what is and should be in any agreement.,"Contracts and agreements are set up on a case-by-case basis with some regular content, perhaps due to copying a previous contract.","Formal, written agreements are in place with all specified appropriate aspects included.",Use of the written agreement is monitored.,At regular intervals reviews of what is required in the agreements and updates.,
Organisational Infrastructure,"Funding, Staff, Resources",RA,1.3.1.1,Institutional Sustainability,The repository is hosted by an established institution or a consortium appropriate to its Designated Community.,to do,There is no legal entity associated with the repository and no plan for the repository to be hosted by one.,There is strategic plan and a clear timeline for the repository to be hosted by an institution or consortium.,The repository is hosted by a legal entity but there is no formal agreements in place.,A formal agreement ensures that a legal entity is responsible for hosting the repository and it is appropriate for the designated community.,,,
Organisational Infrastructure,"Funding, Staff, Resources",RA,1.3.2.1,Funding,The repository has obtained a commitment to 5 years of funding of its repository activities from its organisation or other funding bodies.,to do,"There is no evidence of a guarantee of funding, or all funding comes from applications for projects.",There is some commitment to partially fund the repository activities and not for 5 years. Some core funding comes from time limited projects.,"There is a commitment in place to fund the repository activities on a rolling regular review for five years, or there is a commitment to 3 years or more of funding.",The organisation has a commitment for sufficient funds to conduct its repository activities for 5 years or more.,,,
Organisational Infrastructure,"Funding, Staff, Resources",RA,1.3.2.2,Monitoring demand,"The organisation monitors demand for its repository services, growth and funding.Â",to do,There is no evidence of monitoring of demand for repository services.,The organisation only reacts to significant changes in demand for the repository services when the changes occur. It does not attempt to adjust its funding.,The organisation occasional reviews changes in demand for the repository services and only reacts to significant changes.,At regular intervals (ideally annually or more frequently) the institution monitors the demand for its repository services.,The organisation actively monitors demand and response for its repository services and is aware of trends.,At regular intervals the organisation utilises the monitoring information to adapt its level or other aspects of its repository service provision and ensures there is adequate funding.,
